"link_type","target_title","target_url","observation_status"
"previous","Translating Yr","https://lettersfortitles.com/translating-yr/","observed directly 2026-08-28"
"next","Stanza 3: Thorn","https://lettersfortitles.com/thorn/","observed directly 2026-08-28"
"internal","They'll Cut You / thegns","https://lettersfortitles.com/they-cut/","observed in body"
"internal","Thorn glyph / giant","https://lettersfortitles.com/th/","observed in body; anchor truncates giant in served text extraction"
"category","They'll Cut You","https://lettersfortitles.com/category/theyll-cut-you/","observed directly"
