"media_position","media_role","source_url","title_or_attribution","local_status","rights_note"
"1","lead article image","https://lettersfortitles.com/wp-content/uploads/2022/04/x%E2%89%A0y%E2%89%A0z-lettersfortitles-vern-tonkin.jpg","lead image / attributed epigraph or composition","not downloaded","record metadata and function only"
"2","numbered alphabet image 222","https://lettersfortitles.com/wp-content/uploads/2022/04/222-A-letters-fortitles-vern-tonkin.jpg","served secondary image","not downloaded","record metadata and source attribution"
