"media_position","media_role","source_url","title_or_attribution","local_status","rights_note"
"1","lead article image","https://lettersfortitles.com/wp-content/uploads/2022/04/%E1%9B%A1-LettersforTitles-VernTonkin.jpg","lead image / attributed epigraph or composition","not downloaded","record metadata and function only"
"2","numbered alphabet image 204","https://lettersfortitles.com/wp-content/uploads/2022/04/204-Y-hans-holbein-danse-of-death-british-museum-letters-for-titles-vern-tonkin.jpg","served secondary image","not downloaded","record metadata and source attribution"

