"link_type","target_title","target_url","observation_status"
"previous","I Sing This Wretched Song","https://lettersfortitles.com/i-sing-this-wretched-song/","observed from live category order or adjacent-page evidence 2026-08-25"
"next","X≠Y≠Z: Z’s Lament","https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-zs-lament/","observed from live category order or adjacent-page evidence 2026-08-25"
"category","You Have Nothing Else","https://lettersfortitles.com/category/you-have-nothing-else/","observed category relation 2026-08-25"
