"link_type","target_title","target_url","observation_status"
"previous","Rune Casting: Os","https://lettersfortitles.com/rune-casting-os/","observed directly on live page 2026-08-27"
"next","X≠Y≠Z: How to Punch a Tree","https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-how-to-punch-a-tree/","observed directly on live page 2026-08-27; displayed title contains two spaces after colon"
"category","Axis Mundi","https://lettersfortitles.com/category/axis-mundi/","observed directly on live page 2026-08-27"
