"media_position","media_role","source_url","title_or_attribution","local_status","rights_note"
"1","lead article image","https://lettersfortitles.com/wp-content/uploads/2022/03/decode-lettersfortitles-verntonkin.jpg","Joyce sentence about an imperfectly recovered solution","not downloaded","record metadata and function only"
"2","numbered alphabet image 254","https://lettersfortitles.com/wp-content/uploads/2022/03/254-M-harley-ms-3045-hrabanus-maurus-de-laudibus-sanctae-crusis-letters-for-titles-verntonkin.jpg","M is for Míðan; Hrabanus Maurus / De Laudibus Sanctae Crucis","not downloaded","record metadata and source attribution only"
