"link_type","target_title","target_url","observation_status"
"previous","UI is for User Interface","https://lettersfortitles.com/ui-is-for-user-interface/","observed directly 2026-08-28"
"next","Translating Yr","https://lettersfortitles.com/translating-yr/","observed directly 2026-08-28"
"internal","How to Burn it All Down","https://lettersfortitles.com/how-to-burn-it-all-down/","observed in body"
"internal","Kings","https://lettersfortitles.com/kings/","observed in body"
"internal","X≠Y≠Z: A Joy in the Home","https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-a-joy-in-the-home/","observed in body"
"category","They'll Cut You","https://lettersfortitles.com/category/theyll-cut-you/","observed directly"
