"link_type","target_title","target_url","observation_status"
"previous","X≠Y≠Z: How to Punch a Tree","https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-how-to-punch-a-tree/","observed directly on live page 2026-08-27"
"next","Shh","https://lettersfortitles.com/shh/","observed directly on live page 2026-08-27"
"internal","Axis Mundi","https://lettersfortitles.com/axismundi/","observed directly on apostrophe to the tree"
"internal","X≠Y≠Z: How to Punch a Tree","https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-how-to-punch-a-tree/","observed directly in body"
"internal","T is for Thincso","https://lettersfortitles.com/t-is-for-thincsus/","observed directly in body; target slug spelling preserved"
"internal","Translating Tiw","https://lettersfortitles.com/translating-tiw/","observed directly in body"
"internal","Rune Casting: Ur","https://lettersfortitles.com/rune-casting-ur/","observed directly in body"
"category","Axis Mundi","https://lettersfortitles.com/category/axis-mundi/","observed directly on live page 2026-08-27"
