"link_type","target_title","target_url","observation_status"
"previous","X≠Y≠Z: Z’s Lament","https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-zs-lament/","observed from live category order or adjacent-page evidence 2026-08-25"
"next","Œ is for Œdipean Riddle","https://lettersfortitles.com/oe-is-for-oedipean-riddle/","observed from live category order or adjacent-page evidence 2026-08-25"
"category","You Have Nothing Else","https://lettersfortitles.com/category/you-have-nothing-else/","observed category relation 2026-08-25"
