post_id,title,url,publication_date,modified_date,provenance
8091,Moody Joy,https://lettersfortitles.com/moody-joy/,2022-05-10,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8146,Bad Idea,https://lettersfortitles.com/bad-idea/,2022-05-11,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8219,The Aurochs and the Beaver,https://lettersfortitles.com/the-aurochs-and-the-beaver/,2022-05-12,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8233,X≠Y≠Z: What is that?,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-what-is-that/,2022-05-13,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8280,U is for Expnged,https://lettersfortitles.com/u-is-for-expnged/,2022-05-16,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8285,How to Look Joyful,https://lettersfortitles.com/how-to-look-joyful/,2022-05-17,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8104,Translating Ur,https://lettersfortitles.com/translating-ur/,2022-05-18,2023-09-20,repository data/corpus.json; WordPress REST API harvest; day precision
8071,Translating Ior,https://lettersfortitles.com/translating-ior/,2022-05-19,2022-08-13,repository data/corpus.json; WordPress REST API harvest; day precision
7659,Stanza 28: Beaver,https://lettersfortitles.com/beaver/,2022-05-20,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
7661,Stanza 2: Aurochs,https://lettersfortitles.com/aurochs/,2022-05-23,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8520,Þ,https://lettersfortitles.com/th/,2022-05-24,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
8346,ᚣ,https://lettersfortitles.com/%e1%9a%a3/,2022-05-25,2025-12-24,repository data/corpus.json; WordPress REST API harvest; day precision
8443,Rune Casting: Yr,https://lettersfortitles.com/rune-casting-yr/,2022-05-26,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8459,Rune Casting: Thorn,https://lettersfortitles.com/rune-casting-thorn/,2022-05-27,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8532,How to Grab a Thorn,https://lettersfortitles.com/how-to-grab-a-thorn/,2022-05-30,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8388,Th is for Ye,https://lettersfortitles.com/th-is-for-ye/,2022-05-31,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8547,X≠Y≠Z: Three Body Problem,https://lettersfortitles.com/x-%e2%89%a0-y-%e2%89%a0-z-three-body-problem/,2022-06-01,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
