"media_position","media_role","source_url","title_or_attribution","local_status","rights_note"
"1","lead article image","https://lettersfortitles.com/wp-content/uploads/2022/04/Byth-bodlian-ms-junius-121-fol-66v-Handbook-for-the-use-of-a-confessor-lettersfortitles-vern-tonkin-1080x1080.jpg","lead image / attributed epigraph or composition","not downloaded","record metadata and function only"
"2","numbered alphabet image 216","https://lettersfortitles.com/wp-content/uploads/2022/04/216-Y-a-little-folks-alphabet-letters-fortitles-vern-tonkin.jpg","served secondary image","not downloaded","record metadata and source attribution"
