"media_position","media_role","source_url","title_or_attribution","local_status","rights_note"
"1","lead article image","https://lettersfortitles.com/wp-content/uploads/2022/04/how-to-move-a-cow-lettersfortitles-Vern-Tonkin-1080x845.jpg","lead image / attributed epigraph or composition","not downloaded","record metadata and function only"
"2","numbered alphabet image 242","https://lettersfortitles.com/wp-content/uploads/2022/04/242-Y-letters-for-titles-vern-tonkin.jpg","served secondary image","not downloaded","record metadata and source attribution"
