"media_position","media_role","source_url","title_or_attribution","local_status","rights_note"
"1","lead article image","https://lettersfortitles.com/wp-content/uploads/2022/04/oxen-of-the-sun-lettersfortitles-vern-tonkin.jpg","lead image / attributed epigraph or composition","not downloaded","record metadata and function only"
"2","numbered alphabet image 232","https://lettersfortitles.com/wp-content/uploads/2022/04/232-R-charles-scarboroughs-archimedes-christchurch-or.1.4-fol-27r-letters-for-titles-vern-tonkin.jpg","served secondary image","not downloaded","record metadata and source attribution"
